url,title,author,creator,producer,version,size,xmp,pages
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF_Wk7_Geothermal.pdf,University of Connecticut  Carbon Neutral Task Force Meeting #7   March 2023,"Greenwell, Mary",Acrobat PDFMaker 11 for PowerPoint,Adobe PDF Library 11.0,1.5,477422,"Adobe XMP Core 5.4-c006 80.159825, 2016/09/16-03:31:08        ",14
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Student-Health-and-Wellness.pdf,PowerPoint Presentation,Suzanne Onorato,Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,680195,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",9
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Presidents-Advisory-Council-on-Policing.pdf,,"Donahue, Amy",Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.58,1.6,77635,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/PAR_fuelcells.pdf,<no title>,<no author>,Adobe InDesign CS2 (4.0.5),Adobe PDF Library 7.0,1.4,684034,3.1.1-111,16
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Presidents-Task-Force-on-Combating-Sexual-Violence-and-Supporting-Our-Students-2.pdf,Presidents-Task-Force-on-Combating-Sexual-Violence-and-Supporting-Our-Students-2,<no author>,<no creator>,Equidox 5,1.7,115924,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/AdditRescisFY09.pdf,Additional FY09 Rescission March 31 2009,<no author>,PDFCreator Version 0.9.5,GPL Ghostscript 8.61,1.4,444560,"Adobe XMP Core 4.2.1-c043 52.372728, 2009/01/18-15:08:04        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Day-One.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,142128,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-09-25-Letter-to-SFS.pdf,<no title>,<no author>,<no creator>,<no producer>,1.4,866497,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Week-10-Fall-2023-Semester-Summary.pdf,University of Connecticut  Carbon Neutral Task Force Meeting #6  March 2023,Katie Milardo,Microsoft® PowerPoint® for Microsoft 365,Microsoft® PowerPoint® for Microsoft 365,1.7,746514,3.1-701,10
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2022-12-7-Who-We-Are-BOT-Meeting-v2_12-12-22.pdf,2022-12-7-Who-We-Are-BOT-Meeting-v2_12-12-22,<no author>,<no creator>,Equidox 5,1.7,21730659,"Adobe XMP Core 8.0-c001 79.328f76e, 2022/08/01-19:10:29        ",29
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2017-02-02-Herbst-Message-to-the-Community.pdf,<no title>,Jim Reardon,Microsoft® Word 2016,Microsoft® Word 2016,1.5,126903,<no xmp toolkit version>,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Letter-to-community-re-Chauvin-verdict-_-4.20.21.pdf,,"Reitz, Stephanie",Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.68,1.6,74424,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Employee-Townhall.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,114027,3.1-701,1
https://president.media.uconn.edu/wp-content/uploads/sites/3778/2024/04/Okanagan_Charter_Oct_6_2015.pdf,Okanagan Charter 2015,<no author>,Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0,1.5,2859503,"Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ",12
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2013-01-17-SH-Sexual-Assault-Letter.pdf,<no title>,<no author>,<no creator>,<no producer>,1.6,257210,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Chief-Diversity-Officer-Search.pdf,<no title>,<no author>,<no creator>,<no producer>,<no version>,1379,<no xmp toolkit version>,-1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/DI-Events-Fall-2016.pdf,<no title>,<no author>,Microsoft® Word 2013,Microsoft® Word 2013,1.5,213131,<no xmp toolkit version>,5
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF-Wk3.pdf,CNTF-Wk3,Mary Josephine,PowerPoint,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1.4,1975967,<no xmp toolkit version>,7
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Task-Force-for-Combating-Sexual-Violence-Report-2022-1.pdf,Task-Force-for-Combating-Sexual-Violence-Report-2022-1,<no author>,<no creator>,Equidox 5,1.7,1149108,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",13
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Katsouleas-Message-to-Community-_-Swastika-arrest-_-4.29.21.pdf,<no title>,"Kirk, Michael",Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365,1.7,54481,3.1-701,1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Successfully-Weathering-Adversity.pdf,<no title>,<no author>,<no creator>,Skia/PDF m83,1.5,63779,<no xmp toolkit version>,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF-Wk2.pdf,CNTF - Wk2,Mary Josephine,PowerPoint,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1.4,2019393,<no xmp toolkit version>,9
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Important-Information-for-Students-Voting-in-Connecticut.pdf,,Aaron Rosman,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.53,1.6,111291,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Happy-holidays-fromUConn.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,133844,3.1-701,1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Budget101308.pdf,"Budget email to all employees - October 13, 2008",dem02009,PDFCreator Version 0.9.5,GPL Ghostscript 8.61,1.4,429399,"Adobe XMP Core 4.2.1-c043 52.372728, 2009/01/18-15:08:04        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Victim-Support-Services.pdf,Victim Support Services,"Longa, Jenn",Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,496792,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",10
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Student-Feedback-For-the-SA-Advocacy-Committee-1-002.pdf,Student Feedback For the SA Advocacy Committee,<no author>,Google,<no producer>,1.4,52155,"Adobe XMP Core 7.1-c000 79.425dc87, 2021/10/27-16:20:32        ",4
